time,xref,x,yref,y,zref,z,ex,ey,ez,e_norm,roll,pitch,yaw,u1,u2,u3,u4,w1,w2,w3,w4
0.45,0.0,8.40357732003059e-15,0.0,-4.664086288490885e-14,0.9,0.005829132945727012,-8.40357732003059e-15,4.664086288490885e-14,0.894170867054273,0.894170867054273,-2.920465650537457e-13,1.0021880313588038e-13,1.5461605012118918e-10,15.858693926798777,-15.85869392570436,15.858693926798937,-15.858693925707085,15.860779942553007,-15.860779941458857,15.8607799425534,-15.860779941461692
0.46,0.0,9.712037971559423e-15,0.0,-4.051722129645828e-14,0.9200000000000002,0.007463676540782687,-9.712037971559423e-15,4.051722129645828e-14,0.9125363234592174,0.9125363234592174,-1.9267343114914042e-13,8.004643752943422e-14,1.4851073464281569e-10,15.962483487074815,-15.962483486015993,15.962483487067974,-15.962483486026855,15.964490655333707,-15.964490654272172,15.964490655325195,-15.964490654285669
0.47000000000000003,0.0,1.0976650982908888e-14,0.0,-3.5042821759855176e-14,0.9400000000000001,0.00936649848163001,-1.0976650982908888e-14,3.5042821759855176e-14,0.9306335015183701,0.9306335015183701,-1.427441354561355e-13,7.008827987326285e-14,1.4088215010132187e-10,16.058508997167316,-16.058508996163546,16.058508997160647,-16.058508996172346,16.060436934401626,-16.060436933394243,16.060436934392843,-16.060436933405796
0.48,0.0,1.2165267765769727e-14,0.0,-3.0234587049450385e-14,0.96,0.011553122457584568,-1.2165267765769727e-14,3.0234587049450385e-14,0.9484468775424154,0.9484468775424154,-1.2496480242030962e-13,6.743533631353193e-14,1.333170984558628e-10,16.147086974841482,-16.14708697389625,16.147086974838366,-16.147086973898492,16.148936334057034,-16.148936333109845,16.148936334052795,-16.148936333113184
0.49,0.0,1.3319334623632335e-14,0.0,-2.5703356701016048e-14,0.9800000000000001,0.014037062436807055,-1.3319334623632335e-14,2.5703356701016048e-14,0.9659629375631931,0.9659629375631931,-1.1139978175051706e-13,6.617759965624222e-14,1.2715582960332278e-10,16.228528753307934,-16.22852875241024,16.228528753307764,-16.228528752407474,16.23030039637346,-16.230300395476522,16.23030039637343,-16.230300395472984
0.5,0.0,1.44843409807413e-14,0.0,-2.1099861253095308e-14,1.0,0.0168317207848355,-1.44843409807413e-14,2.1099861253095308e-14,0.9831682792151645,0.9831682792151645,-7.860678847550216e-14,6.106608961334424e-14,1.2342213748382374e-10,16.303145686415476,-16.303145685543022,16.30314568641441,-16.303145685541676,16.30484064960069,-16.304840648731005,16.304840649600166,-16.304840648728288
0.51,0.0,1.581330343748193e-14,0.0,-1.671864486526307e-14,1.02,0.019948903775786335,-1.581330343748193e-14,1.671864486526307e-14,1.0000510962242137,1.0000510962242137,-6.324001857043283e-14,5.3490843597254834e-14,1.1920267205191045e-10,16.371238464588334,-16.37123846374517,16.371238464587492,-16.371238463745133,16.372858069239406,-16.372858068398777,16.37285806923907,-16.37285806839763
0.52,0.0,1.7392545443289198e-14,0.0,-1.2615698721123692e-14,1.04,0.02340011480525198,-1.7392545443289198e-14,1.2615698721123692e-14,1.016599885194748,1.016599885194748,-8.047194957704663e-14,4.382888006074364e-14,1.1294608718433022e-10,16.433106785534992,-16.433106784739007,16.433106785537834,-16.43310678473676,16.43465256757415,-16.434652566777352,16.434652567577174,-16.434652566774933
0.53,0.0,1.8967248622539908e-14,0.0,-7.963760324928331e-15,1.06,0.02719470236335659,-1.8967248622539908e-14,7.963760324928331e-15,1.0328052976366435,1.0328052976366435,-5.99059505556399e-14,3.108370448558439e-14,1.0876812678325287e-10,16.489038251894897,-16.48903825112659,16.489038251896744,-16.489038251127067,16.490511826972984,-16.490511826201818,16.49051182697443,-16.490511826203374
0.54,0.0,2.0345443710797155e-14,0.0,-2.4884741987754686e-15,1.08,0.031341297394962185,-2.0345443710797155e-14,2.4884741987754686e-15,1.0486587026050378,1.0486587026050378,2.9637456798310453e-14,1.7051889486333096e-14,1.0880785391709043e-10,16.539314793769947,-16.53931479299169,16.539314793762866,-16.539314793002582,16.54071787598026,-16.5407178752012,16.540717875972188,-16.54071787521409
0.55,0.0,2.171905835914132e-14,0.0,1.8531114871899686e-15,1.1,0.035848718705492645,-2.171905835914132e-14,-1.8531114871899686e-15,1.0641512812945075,1.0641512812945075,5.726152081198452e-14,1.0342299761777476e-14,1.068322243296877e-10,16.584212958454753,-16.584212957690024,16.5842129584468,-16.58421295770092,16.58554755378659,-16.585547553020877,16.585547553777364,-16.585547553034004
0.56,0.0,2.2945518933870735e-14,0.0,4.936814306346372e-15,1.12,0.04072357857973806,-2.2945518933870735e-14,-4.936814306346372e-15,1.0792764214202621,1.0792764214202621,3.053005300567723e-14,1.333591674280094e-14,1.0403546412214625e-10,16.623996978101385,-16.62399697736414,16.623996978099576,-16.623996977365763,16.625265174174608,-16.62526517343525,16.6252651741717,-16.62526517343827
